task_id,n_genomes,n_groups,primary,alpha,random_mean,random_ci95_lo,random_ci95_hi,blocked_mean,blocked_ci95_lo,blocked_ci95_hi,delta_mean,delta_ci95_lo,delta_ci95_hi,delta_macro_mean,delta_macro_ci95_lo,delta_macro_ci95_hi,logo_pooled,logo_macro,logo_infl_lo,logo_infl_hi,note
T01,777,100,rho,10.0,0.8685234930165695,0.8629018265559166,0.8732307603459388,0.38237961749715604,0.29869238487238514,0.4613516430190563,0.4861438755194135,0.41007591577670927,0.5674595488277918,0.44907752792716843,0.3627986903240457,0.5259131313744728,0.4303633416454508,0.5239883886702612,-0.019619106175594814,0.041083258486158014,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization)
T07,560,20,rho,0.001,0.9450166228913665,0.9419218843604333,0.9473273882031268,0.36327499341958736,0.03400386479729224,0.6188999318917652,0.5817416294717789,0.3238697989547049,0.9100745412025131,0.5807605952042294,0.3514287663455505,0.9024969581173378,0.5157155891346001,0.5173196222354475,-0.0592420262849217,0.1014544043499307,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization)
T08,440,12,auc,1000.0,0.7683099241218663,0.7562593694504024,0.7824644249175488,0.5283418667404691,0.444212274268318,0.59746534744805,0.23996805738139715,0.1621560690975345,0.3260366936506838,0.2140104842006801,0.11408132415569788,0.2959851162768278,0.549620609331396,0.5444874021336384,-0.04512921257026248,0.05377765009670177,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization)
T06,302,40,auc,1000.0,0.5803598484848485,0.5518998579545454,0.6027450284090909,0.5097743055555557,0.45208806818181824,0.5580646306818181,0.07058554292929292,0.017166193181818237,0.13334517045454544,0.07344258895259086,0.004697500333673861,0.15368968059568916,0.5223011363636364,0.5274918786083878,-0.007360345232369059,0.019207355144855165,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization)
T03_REP,1002,219,auc,1000.0,0.699937202172066,0.6912426054238325,0.711796097035837,0.6210246072497191,0.599296162999942,0.6501676807548404,0.07891259492234709,0.047673709874035027,0.10853509554240956,0.04988522982770651,0.02251046866225148,0.08267226870895326,0.6244689889549703,0.5953430549943757,-0.007968076173302086,0.017271911480583158,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization)
