target,cv,n_seq,n_groups,n_splits,rho_point,n_boot,ci95_low,ci95_high,boot_median
spillover_total,GroupKFold_organism,56,12,5,0.5121075103284048,2000,-0.24671845732049497,0.7665926918413016,0.4184713542171278
spillover_host_score,GroupKFold_organism,56,12,5,0.7025493931895257,2000,-0.11587415847816143,0.841523730320031,0.6191601290369106
total_ablated_circular,GroupKFold_organism,56,12,5,0.5112814699128887,2000,-0.2263095097031673,0.7618832109107144,0.4177183023235882
