class,n_accessions,median_mass_enrichment,mean_mass_enrichment,median_p_circular_shift,n_sig_p005,median_top_enrichment_vs_length,n_top_sig_hypergeom_005
entry_interface,10,0.9739664847749929,1.0589753638050978,0.44127936031984005,5,0.9883818360753993,5
host_interaction_broad,10,1.0009273856925458,1.158926895862678,0.3638180909545227,4,1.0009784735802114,4
other,10,0.13107828549096645,0.7576028718281884,0.8575712143928036,2,0.01606148537362567,3
polymerase_replicase,10,0.0,3.4532378662129433,1.0,4,0.0,4
rbd,10,0.0,0.04557868002025178,1.0,0,0.0,0
structural_other,10,0.0,0.04149849583554717,1.0,0,0.0,0
